"NCIt_code","synonyms_lower"
"C171370","copper 67 sartate"
"C171370","copper cu 67 tate"
"C171370","copper cu 67-sartate"
"C171370","cu-67 sartate"
"C171370","sartate cu-67"
"C171371","genetically modified interleukin-12 transgene-encoding bifidobacterium longum"
"C171371","bifidobacterium longum encoding il-12"
"C171371","genetically modified il-12 transgene-encoding bifidobacterium longum"
"C171371","bactrl-il-12"
"C171372","irdye800-labeled heterodimeric peptide ksp-qrh 919288g"
"C171372","919288g"
"C171372","irdye800-labeled ksp/qrh dimer"
"C171372","ksp-qrh-e3-irdye800"
"C171372","ksp/qrh peptide dimer"
"C171372","peptide 919288g"
"C171374","cationic peptide cream cypep-1"
"C171374","cypep-1"
"C171377","recombinant humanized anti-her-2 bispecific monoclonal antibody mbs301"
"C171377","bispecific anti-her2 antibody mbs301"
"C171377","mbs 301"
"C171377","mbs-301"
"C171377","mbs301"
"C171381","3'-da phosphoramidate nuc-7738"
"C171381","nuc 7738"
"C171381","nuc-7738"
"C171381","nuc7738"
"C171381","nucleoside analog nuc-7738"
"C171384","shenqi fuzheng injection sq001"
"C171384","sfi"
"C171384","sq 001"
"C171384","sq-001"
"C171384","sq001"
"C171385","interleukin-15 agonist fusion protein shr1501"
"C171385","il-15 agonist fusion protein shr1501"
"C171385","il-15 super-agonist shr1501"
"C171385","interleukin-15/interleukin-15 receptor alpha sushi+ domain fusion protein shr1501"
"C171385","shr 1501"
"C171385","shr-1501"
"C171385","shr1501"
"C171387","plasmid dna vaccine ping-hher3fl"
"C171387","ping-hher3fl"
"C171387","ping-hher3fl vaccine"
"C171390","radix polygalae extract pdc-1421"
"C171390","bli-1005"
"C171390","pdc 1421"
"C171390","pdc-1421"
"C171390","pdc1421"
"C171390","polygala tenuifolia root"
"C171392","individualized mva-based vaccine tg4050"
"C171392","mva-neoantigen vaccine tg4050"
"C171392","neoantigen-expressing mva-based vaccine tg4050"
"C171392","tg 4050"
"C171392","tg-4050"
"C171392","tg4050"
"C171392","tg4050 vaccine"
"C1713","tyrphostin ag 126"
"C1713","ag 126"
"C171422","microbiome gen-001"
"C171422","gen 001"
"C171422","gen-001"
"C171422","gen001"
"C171422","microbiome-based therapeutic gen-001"
"C171425","epha2-targeting bicycle toxin conjugate bt5528"
"C171425","bt 5528"
"C171425","bt-5528"
"C171425","bt5528"
"C171425","btc bt5528"
"C171425","bicycle bt5528"
"C171425","bicycle toxin conjugate-targeting epha2 bt5528"
"C171425","bicyclic peptide conjugate bt5528"
"C171425","epha2-targeting btc bt5528"
"C171425","epha2-targeting-mmae bicycle toxin bt5528"
"C171430","personalized neoantigen dna vaccine gnos-pv01"
"C171430","gnos-pv01"
"C171430","neoantigen vaccine gnos-pv01"
"C171430","personalized neoantigen-based vaccine gnos-pv01"
"C171450","perenostobart"
"C171450","anti-cd39 monoclonal antibody srf617"
"C171450","srf 617"
"C171450","srf-617"
"C171450","srf617"
"C1714","recombinant flt3 ligand"
"C1714","cdx-301"
"C1714","flt 3 ligand"
"C1714","flt3 ligand"
"C1714","flt3-ligand"
"C1714","flt3l"
"C1714","mobist"
"C1714","mobista"
"C1714","rhuflt3l"
"C171540","oncolytic herpes simplex virus-1 oncr-177"
"C171540","oncr 177"
"C171540","oncr-177"
"C171540","oncr177"
"C171540","oncolytic hsv-1 oncr-177"
"C171540","ohsv-1 oncr-177"
"C171541","exlinkibart"
"C171541","anti-4-1bb agonistic monoclonal antibody lvgn6051"
"C171541","anti-cd137 agonist monoclonal antibody lvgn6051"
"C171541","anti-cd137 agonistic monoclonal antibody lvgn6051"
"C171541","anti-cd137 monoclonal antibody lvgn6051"
"C171541","lvgn 6051"
"C171541","lvgn-6051"
"C171541","lvgn6051"
"C171577","ifinatamab deruxtecan"
"C171577","anti-b7-h3/dxd adc ds-7300a"
"C171577","anti-b7-h3/dxd antibody-drug conjugate ds-7300a"
"C171577","anti-b7h3/dxd antibody-drug conjugate ds-7300a"
"C171577","ds 7300"
"C171577","ds 7300a"
"C171577","ds-7300"
"C171577","ds-7300a"
"C171577","ds7300"
"C171577","ds7300a"
"C1715","tyrphostin ag 1478"
"C1715","ag 1478"
"C1715","ag-1478"
"C171615","alk inhibitor tae684"
"C171615","5-chloro-n4-(2-(isopropylsulfonyl)phenyl)-n2-(2-methoxy-4-(4-(4-methylpiperazin-1-yl)piperidin-1-yl)phenyl)pyrimidine-2,4-diamine"
"C171615","npm-alk inhibitor tae684"
"C171615","nvp-tae684"
"C171615","tae 684"
"C171615","tae-684"
"C171615","tae684"
"C171616","mdm2 inhibitor amgmds3"
"C171616","2-[(2s,3r,4s)-2,3-bis(3-chlorophenyl)-1-[(2s)-1-ethoxy-1-oxobutan-2-yl]-4-methyl-6-oxopiperidin-4-yl]acetic acid"
"C171616","amgmds3"
"C171616","q59770979"
"C171631","bcma/cd3e tri-specific t-cell activating construct hpn217"
"C171631","anti-bcma/cd3e tritac hpn217"
"C171631","bcma/cd3 tri-specific t-cell activating construct hpn217"
"C171631","bcma/cd3e tritac hpn217"
"C171631","bcma/cd3e-specific tritac hpn217"
"C171631","hpn 217"
"C171631","hpn-217"
"C171631","hpn217"
"C171631","tritac hpn217"
"C171649","cedazuridine/azacitidine combination agent astx030"
"C171649","astx 030"
"C171649","astx-030"
"C171649","astx030"
"C171649","aza/cdz combination"
"C171649","cedazuridine + azacitidine"
"C171651","atleradstrocel"
"C171652","avoplacel"
"C171653","cenplacel-l"
"C171654","darvadstrocel"
"C171655","rexlemestrocel-l"
"C171656","tonogenconcel"
"C171657","besipirdine"
"C171658","bucrylate"
"C171659","eftrenonacog alfa"
"C171660","felezonexor"
"C171660","cbs 9106"
"C171660","sl 801"
"C171660","sl-801"
"C171660","xpo1 inhibitor sl-801"
"C171661","ferric derisomaltose"
"C171661","monoferric"
"C171662","veverimer"
"C171663","cenderitide"
"C171664","trazpiroben"
"C171665","edasalonexent"
"C171666","centanafadine"
"C171667","zelquistinel"
"C171668","avacincaptad pegol"
"C171669","emixustat"
"C171670","emixustat hydrochloride"
"C171671","tinlarebant"
"C171672","denufosol tetrasodium"
"C171673","elopultide"
"C171674","fezagepras"
"C171674","pbi-4050"
"C171674","setogepram"
"C171675","apararenone"
"C171676","ensartinib hydrochloride"
"C171677","dipraglurant"
"C171678","centhaquine"
"C171679","tasipimidine sulfate"
"C171680","vatinoxan hydrochloride"
"C171681","erbumine"
"C171682","butirosin"
"C171683","cibinetide"
"C171684","dimefadane"
"C171685","prodilidine hydrochloride"
"C171686","delmadinone acetate"
"C171687","cartazolate"
"C171688","cicarperone"
"C171689","fabomotizole"
"C171690","cifenline"
"C171691","cetophenicol"
"C171692","chloramphenicol pantothenate calcium"
"C171693","contezolid"
"C171694","denofungin"
"C171695","durlobactam sodium"
"C171696","enmetazobactam"
"C171697","sibofimloc"
"C171698","taniborbactam"
"C171699","taniborbactam hydrochloride"
"C1716","lintuzumab"
"C1716","hu-m195 monoclonal antibody"
"C1716","hug1-m195 monoclonal antibody"
"C1716","humanized m195"
"C1716","moab hug1-m195"
"C1716","moab hum195"
"C1716","monoclonal antibody hug1-m195"
"C1716","monoclonal antibody hum195"
"C1716","sgn-33"
"C1716","smart m195"
"C1716","zamyl"
"C1716","monoclonal antibody hum195 hug1-m195"
"C171700","bleselumab"
"C171701","demoxepam"
"C171702","dezinamide"
"C171703","dimethadione"
"C171704","ampreloxetine hydrochloride"
"C171705","dalcinonacog alfa"
"C171706","daledalin tosylate"
"C171707","edivoxetine hydrochloride"
"C171708","toludesvenlafaxine"
"C171709","zuranolone"
"C171710","emapticap pegol"
"C171711","firuglipel"
"C171712","cycloheximide"
"C171713","sura1.t"
"C171714","anthelmycin"
"C171715","arpraziquantel"
"C171716","atelocantel"
"C171717","bithionolate sodium"
"C171718","damoctocog alfa pegol"
"C171719","bictegravir"
"C171720","butylphthalide"
"C171721","ferroquine"
"C171722","asciminib hydrochloride"
"C171722","abl001-aaa"
"C171722","n-[4-(chlorodifluoromethoxy)phenyl]-6-[(3r)-3-hydroxypyrrolidin-1-yl]-5-(1h-pyrazol-3-yl)pyridine-3-carboxamidehydrogen chloride (1/1)"
"C171722","scemblix"
"C171723","dacomitinib anhydrous"
"C171724","dubermatinib tartrate"
"C171725","zotiraciclib"
"C171726","prezatide copper acetate"
"C171727","adegrapepimut-s"
"C171728","arlipoic acid"
"C171729","cyproquinate"
"C171730","demiditraz"
"C171731","sodium phenarsone sulfoxylate"
"C171732","cintriamide"
"C171733","fluspirilene"
"C171734","ralmitaront"
"C171735","atesidorsen"
"C171736","beclanorsen"
"C171737","cenersen sodium"
"C171738","edifoligide sodium"
"C171739","eteplirsen"
"C171740","sepofarsen"
"C171741","tominersen"
"C171742","azintuxizumab"
"C171743","dibunate"
"C171744","ceclazepide"
"C171745","rebamipide mofetil"
"C171746","faldaprevir"
"C171747","buthalital sodium"
"C171748","apabetalone"
"C171749","carmoterol"
"C171750","deterenol"
"C171751","dobutamine lactobionate"
"C171752","colestilan chloride"
"C171753","andexanet alfa"
"C171754","cilnidipine"
"C171755","belnacasan"
"C171756","rimtuzalcap"
"C171757","cabiotraxetan"
"C171758","calcium carbimide"
"C171759","propagermanium"
"C171760","revosimeline"
"C171761","tepotinib hydrochloride"
"C171761","tepmetko"
"C171761","tepotinib hydrochloride monohydrate"
"C171762","bavisant"
"C171763","dasolampanel etibutil tosylate"
"C171764","bimoclomol"
"C171765","citicoline sodium"
"C171766","ferriclate calcium sodium"
"C171767","cycloguanil pamoate"
"C171768","bisegliptin"
"C171769","evogliptin"
"C171770","carmetizide"
"C171771","diapamide"
"C171772","sodium mercurin"
"C171776","ciladopa hydrochloride"
"C171777","avibactam"
"C171778","brensocatib"
"C171778","azd 7986"
"C171778","azd-7986"
"C171778","azd7986"
"C171778","ins 1007"
"C171778","ins-1007"
"C171778","ins1007"
"C171779","brepocitinib tosylate"
"C171780","rodatristat"
"C171781","rodatristat ethyl"
"C171782","setafrastat"
"C171783","venglustat malate"
"C171784","bovhyaluronidase azoximer"
"C171785","brinolase"
"C171786","burlulipase"
"C171787","elapegademase"
"C171787","elapegademase-lvlr"
"C171787","methoxypolyethylene glycol recombinant adenosine deaminase"
"C171787","revcovi"
"C171787","sc-peg rada"
"C171788","acorafloxacin"
"C171790","adlinacogene civaparvovec"
"C171791","afoxolaner"
"C171792","avalotcagene ontaparvovec"
"C171793","bamosiran"
"C171794","devafidugene civaparvovec"
"C171795","dirloctocogene samoparvovec"
"C171796","eladocagene exuparvovec"
"C171797","eretidigene velentivec"
"C171798","etranacogene dezaparvovec"
"C171799","ezaladcigene resoparvovec"
"C1717","irofulven"
"C1717","(r)-6'-hydroxy-3'-(hydroxymethyl)-2',4',6'-trimethylspiro(cyclopropane-1,5'(5h)-inden)-7'(6'h)-one"
"C1717","6-hydroxymethylacylfulvene"
"C1717","hmaf"
"C1717","hydroxymethylacylfulvene"
"C1717","mgi 114"
"C1717","mgi-114"
"C171800","fidanacogene elaparvovec"
"C171801","ranuzifigene civaparvovec"
"C171802","rebisufligene etisparvovec"
"C171803","tefidsogene civaparvovec"
"C171804","timrepigene emparvovec"
"C171805","volrubigene ralaparvovec"
"C171806","zildistrogene varoparvovec"
"C171807","cosdosiran"
"C171808","elivaldogene autotemcel"
"C171809","evagenretcel"
"C171810","simoladagene autotemcel"
"C171811","apraglutide"
"C171812","actaplanin"
"C171813","albutrepenonacog alfa"
"C171814","ethamsylate"
"C171815","deptropine"
"C171816","tildacerfont"
"C171816","ly 2371712"
"C171816","ly-2371712"
"C171816","ly2371712"
"C171816","spr 001"
"C171816","spr-001"
"C171816","spr001"
"C171817","efgartigimod alfa"
"C171818","ceralifimod"
"C171819","azoximer bromide"
"C171819","polyoxidonium (tm)"
"C171820","elobixibat"
"C171821","berythromycin"
"C171822","deferitazole magnesium"
"C171823","aselizumab"
"C171824","astegolimab"
"C171824","amg 282"
"C171824","mstt-1041a"
"C171824","mstt1041a"
"C171824","rg6149"
"C171824","ro-7187807"
"C171824","ro7187807"
"C171825","avizakimab"
"C171826","batoclimab"
"C171826","hbm 9161"
"C171826","hbm-9161"
"C171826","hbm9161"
"C171826","hl 161"
"C171826","hl-161"
"C171826","hl161"
"C171827","befovacimab"
"C171828","belantamab"
"C171829","bimekizumab"
"C171830","blosozumab"
"C171831","cosfroviximab"
"C171832","dovanvetmab"
"C171833","edobacomab"
"C171834","elipovimab"
"C171835","eptinezumab"
"C171836","fletikumab"
"C171837","samrotamab"
"C171838","sonelokimab"
"C171839","tafolecimab"
"C171840","talquetamab"
"C171840","anti-cd3/anti-gprc5d bispecific monoclonal antibody jnj-64407564"
"C171840","gprc5d x cd3 bispecific antibody jnj-64407564"
"C171840","gprc5d x cd3 duobody antibody jnj-64407564"
"C171840","gprc5d/cd3 duobody antibody jnj-64407564"
"C171840","humanized gprc5d x cd3 duobody antibody jnj-64407564"
"C171840","jnj 64407564"
"C171840","jnj-64407564"
"C171840","jnj64407564"
"C171841","tinurilimab"
"C171841","anti-ceacam6 antibody bay1834942"
"C171841","bay 1834942"
"C171841","bay-1834942"
"C171841","bay1834942"
"C171842","zagotenemab"
"C171843","zelminemab"
"C171844","ziltivekimab"
"C171845","fezolinetant"
"C171846","blarcamesine"
"C171847","blarcamesine hydrochloride"
"C171848","doravirine"
"C171848","pifeltro"
"C171849","cinfenoac"
"C171850","clofezone anhydrous"
"C171851","fluretofen"
"C171852","flutiazin"
"C171853","rovafovir etalafenamide citrate"
"C171856","axelopran"
"C171857","dextrorphan"
"C171858","suvorexant"
"C171859","cligosiban"
"C171861","bamocaftor"
"C171862","bamocaftor potassium"
"C171863","tranimilast"
"C171863","tanimilast"
"C171864","shogaol"
"C171865","dexormaplatin"
"C171866","asapiprant"
"C171867","ciprostene calcium"
"C171868","alicapistat"
"C171869","berotralstat hydrochloride"
"C171870","candoxatril"
"C171871","crenigacestat"
"C171871","4,4,4-trifluoro-n-((s)-1-(((s)-5-(2-hydroxyethyl)-6-oxo-6,7-dihydro-5h-benzo[d]pyrido[2,3-b]azepin-7-yl)amino)-1-oxopropan-2-yl)butanamide"
"C171871","bms-986405"
"C171871","gamma-secretase inhibitor ly3039478"
"C171871","jsmd194"
"C171871","ly 3039478"
"C171871","ly-3039478"
"C171871","ly3039478"
"C171872","danoprevir"
"C171872","itmn 191"
"C171872","itmn-191"
"C171872","itmn191"
"C171872","rg 7227"
"C171872","rg-7227"
"C171872","rg7227"
"C171873","deldeprevir sodium"
"C171874","elamipretide"
"C171875","elamipretide hydrochloride"
"C171876","fexuprazan"
"C171876","abeprazan"
"C171876","dwp14012"
"C171877","esomeprazole strontium"
"C171878","borocaptate sodium b-10"
"C171879","borofalan (10b)"
"C171879","borofalan b-10"
"C171879","boron b 10 bpa"
"C171879","boron b 10 boronophenylalanine"
"C171879","boron b 10-condensed boronophenylalanine"
"C171879","boronophenylalanine b-10"
"C171879","spm 011"
"C171879","spm-011"
"C171879","spm011"
"C171880","cesium chloride cs-131"
"C171881","diatrizoate sodium i-125"
"C171882","fibrinogen i-125"
"C171883","florbenazine f-18"
"C171883","(2r,3r,11br)-9-(3-18f-fluoropropoxy)-3-isobutyl-10-methoxy-2,3,4,6,7,11b-hexahydro-1h-pyrido[2,1-a]isoquinolin-2-ol"
"C171883","18f-av-133"
"C171883","18f-fp-(+)-dtbz"
"C171883","18f-fp-dtbz"
"C171883","9-[18f]fluoropropyl-(+)-dihydrotetrabenazine"
"C171883","fluorine f 18-av-133"
"C171884","fluorine f 18 florbetapir"
"C171884","av-45 f-18"
"C171884","amyvid"
"C171884","florbetapir f-18"
"C171885","fluorine f 18 florilglutamic acid"
"C171885","(4s)-(3-[f-18]fluoropropyl)-l-glutamic acid"
"C171885","(s)-4-(3-18f-fluoropropyl)-l-glutamic acid"
"C171885","18f-fspg"
"C171885","bay94-9392"
"C171885","florilglutamic acid f-18"
"C171885","fluorine f 18 l-glutamate derivative bay94-9392"
"C171887","flortaucipir f-18"
"C171887","18f-av-1451"
"C171887","f 18 t807"
"C171887","fluorine f18 t807"
"C171887","fluorine-18 labeled 7-(6-fluoropyridin-3-yl)-5h-pyrido[4,3-b]indole"
"C171887","[(18)f]t807"
"C171887","[18f]t807"
"C171887","[f18]t807"
"C171888","flubrobenguane f-18"
"C171889","flurpiridaz f-18"
"C171890","flutafuranol f-18"
"C171891","cimaglermin alfa"
"C171892","adargileukin alfa"
"C171893","cenegermin"
"C171894","timbetasin acetate"
"C171895","ardenermin"
"C171896","chloral betaine"
"C171898","elacestrant hydrochloride"
"C171898","orserdu"
"C171898","rad-1901 dihydrochloride"
"C171898","rad1901 dihydrochloride"
"C171899","tomivosertib hydrochloride"
"C1718","udp-4"
"C1718","2-(3-ethylureido)-6-methylpyridine"
"C171900","felcisetrag"
"C171900","5-ht4 agonist tak-954"
"C171900","serotonin 4 receptor agonist tak-954"
"C171900","serotonin agonist tak-954"
"C171900","tak 954"
"C171900","tak-954"
"C171900","tak954"
"C171900","td-8954"
"C171901","enavogliflozin"
"C171907","eravacycline"
"C171908","anecortave acetate"
"C171909","follitropin delta"
"C171910","benzodrocortisone"
"C171911","ciprocinonide"
"C171912","dimesone"
"C171913","fluocortin"
"C171914","fluocortolone caproate"
"C171915","velsecorat"
"C171916","albusomatropin"
"C171917","bremelanotide acetate"
"C171918","dasiglucagon"
"C171919","buthiazide"
"C171920","dazoxiben"
"C171921","fibrinolysin"
"C171921","plasmin bovine"
"C171922","avicatonin"
"C171923","aftobetin"
"C171924","sura2.m"
"C171925","sura24"
"C171925","sura 24"
"C171925","sura-24"
"C171926","sura3.k"
"C171927","surb7"
"C171928","delgocitinib"
"C171929","filgotinib maleate"
"C171930","sitravatinib malate"
"C171931","tirbanibulin mesylate"
"C171932","aviptadil"
"C171932","invicorp"
"C171932","l-histidyl-l-seryl-l-aspartyl-l-alanyl-l-valyl-l-phenylalanyl-l-threonyl-l-aspartyl-l-asparaginyl-l-tyrosyl-l-threonyl-l-arginyl-l-leucyl-l-arginyl-l-lysyl-l-glutaminyl-l-methionyl-l-alanyl-l-valyl-l-lysyl-l-lysyl-l-tyrosyl-l-leucyl-l-asparaginyl-l-seryl-l-isoleucyl-l-leucyl-l-asparagine"
"C171932","rlf-100"
"C171933","regadenoson anhydrous"
"C171934","treprostinil palmitil"
"C171935","betibeglogene darolentivec"
"C171937","volrustomig"
"C171937","anti-pd-1 x ctla-4 bispecific antibody medi5752"
"C171937","anti-pd-1/anti-ctla-4 bispecific antibody medi5752"
"C171937","anti-pd-1/ctla-4 bispecific antibody medi5752"
"C171937","medi 5752"
"C171937","medi-5752"
"C171937","medi5752"
"C171938","anti-pd-1/anti-pd-l1 bispecific antibody ibi318"
"C171938","anti-pd-1/pd-l1 bispecific antibody ibi318"
"C171938","bispecific antibody ibi318"
"C171938","ibi 318"
"C171938","ibi-318"
"C171938","ibi318"
"C171938","recombinant anti-pd-1/anti-pd-l1 bispecific antibody ibi318"
"C1719","peg recombinant human megakaryocyte growth and development factor"
"C1719","megagen"
"C1719","peg-mgdf"
"C1719","peg-thrombopoietin"
"C1719","peg-rhumgdf"
"C1719","peg-rhmgdf"
"C1719","pegylated recombinant human megakaryocyte growth and development factor"
"C1719","polyethylene glycol-recombinant human megakaryocyte growth and development factor"
"C1719","polyethylene glycosylated recombinant human mgdf"
"C1719","polyethylene glycosylated recombinant human megakaryocyte growth and development factor"
"C172052","cyp11a1 inhibitor odm-209"
"C172052","odm 209"
"C172052","odm-209"
"C172052","odm209"
"C172055","autologous anti-cd19 tac-t cells tac01-cd19"
"C172055","cd19-targeted t cell antigen coupler tac01-cd19"
"C172055","tac01 cd19"
"C172055","tac01-cd19"
"C172055","tac01cd19"
"C172056","boserolimab"
"C172056","anti-cd27 agonist monoclonal antibody mk-5890"
"C172056","anti-cd27 agonistic monoclonal antibody mk-5890"
"C172056","mk 5890"
"C172056","mk-5890"
"C172056","mk5890"
"C172057","autologous anti-cd19/cd20 bispecific nanobody-based car-t cells"
"C172057","autologous anti-cd19/20 bispecific car-t cells"
"C172057","autologous anti-cd19/cd20 bispecific nanobody-derived car-t cells"
"C172057","autologous cd19/cd20 bispecific car-t cells"
"C172058","cord blood derived car t-cells"
"C172058","cb derived car t-cells"
"C172058","cord blood car t-cells"
"C172059","fluorine f 18-al-nota-octreotide"
"C172059","18f-alf-nota-octreotide"
"C172059","18f-imp-466"
"C172059","al18f-1,4,7-triazacyclononane-1,4,7-triacetate-octreotide"
"C172059","al18f-nota-octreotide"
"C172059","al18f-oc"
"C172059","fluorine f 18-aif-nota-octreotide"
"C172059","fluorine f18 imp-466"
"C172059","fluorine f18 nota octreotide"
"C172060","anti-trop2 antibody-drug conjugate bat8003"
"C172060","adc bat8003"
"C172060","anti-trop2 adc bat8003"
"C172060","anti-trop-2 antibody-drug conjugate bat8003"
"C172060","bat 8003"
"C172060","bat-8003"
"C172060","bat8003"
"C172061","allogeneic glial progenitor cells"
"C172061","allogeneic glial restricted progenitor cells"
"C172061","grps"
"C172061","q-cells"
"C172062","larotinib mesylate"
"C172062","z 650"
"C172062","z-650"
"C172062","z650"
"C172063","autologous anti-cd20 car transduced cd4/cd8 enriched t-cells mb-cart20.1"
"C172063","anti-cd20 car t cells mb-cart20.1"
"C172063","autologous cd20-targeted car-transduced cd4/cd8 enriched t cells mb-cart20.1"
"C172063","cd20-targeting car t cells mb-cart20.1"
"C172063","mb-cart20.1"
"C172064","anti-cd30/dm1 antibody-drug conjugate f0002"
"C172064","adc f0002"
"C172064","anti-cd30/dm1 adc f0002"
"C172064","f 0002"
"C172064","f-0002"
"C172064","f0002"
"C172064","f0002-adc"
"C172075","interleukin-15 fusion protein bj-001"
"C172075","bj 001"
"C172075","bj-001"
"C172075","bj001"
"C172075","il-15 fusion protein bj-001"
"C172097","alpha v beta 8 antagonist pf-06940434"
"C172097","alpha v beta 8 inhibitor pf-06940434"
"C172097","pf 06940434"
"C172097","pf-06940434"
"C172097","pf06940434"
"C172098","oxaliplatin eluting beads"
"C172098","callispheres drug-eluting beads with oxaliplatin"
"C172098","deb with oxaliplatin"
"C172098","deboxa"
"C172098","drug-eluting beads with oxaliplatin"
"C1720","alpha galactosylceramide"
"C1720","alpha-galactosylceramide"
"C1720","krn-7000"
"C1720","krn7000"
"C1720","a-galcer"
"C172102","probiotic supplement weileshu"
"C172102","probiotic weileshu"
"C172102","weileshu"
"C172103","autologous cd19 car-expressing cd4+/cd8+ t-cells mb-cart19.1"
"C172103","autologous cd19 car-transduced cd4/cd8 enriched t-cells mb-cart19.1"
"C172103","mb cart19.1"
"C172103","mb-cart19.1"
"C172103","mbcart19.1"
"C172104","androgen receptor/glucocorticoid receptor antagonist cb-03-10"
"C172104","ar/gr antagonist cb-03-10"
"C172104","cb 03 10"
"C172104","cb-03-10"
"C172104","cb0310"
"C172104","cortexolone 17alpha-valerate-21-propionate"
"C172105","autologous cd34+-enriched hspcs transduced with vsv-g encoding ifn-a2"
"C172105","temferon"
"C172106","oncolytic type 2 herpes simplex virus expressing granulocyte macrophage colony-stimulating factor oh2"
"C172106","hg52/icp34.5-/icp47- hsv-2-expressing gm-csf oh2"
"C172106","oh 2"
"C172106","oh-2"
"C172106","oh2"
"C172106","oncolytic hsv-2 expressing gm-csf oh2"
"C172106","ohsv-2-expressing gm-csf oh2"
"C172107","tgf-beta receptor 1 kinase inhibitor yl-13027"
"C172107","tgfbr1 inhibitor yl-13027"
"C172107","yl 13027"
"C172107","yl-13027"
"C172107","yl13027"
"C172108","anti-tim3 monoclonal antibody shr-1702"
"C172108","shr 1702"
"C172108","shr-1702"
"C172108","shr1702"
"C172109","inupadenant"
"C172109","a2a receptor antagonist eos100850"
"C172109","eos 100850"
"C172109","eos-100850"
"C172109","eos100850"
"C172110","powdered mixed berry extract supplement"
"C172110","pediaberry"
"C172110","powdered berry extracts"
"C172110","powdered berry extracts blend"
"C172110","powdered nbe"
"C172110","powdered natural berry extracts"
"C172111","dna-pk/pi3k-delta inhibitor br101801"
"C172111","br 101801"
"C172111","br-101801"
"C172111","br101801"
"C172112","lidocaine mixture with tribenoside"
"C172112","d-glucofuranoside, ethyl 3,5,6-tris-o-(phenylmethyl)-, mixt. with 2-(diethylamino)-n-(2,6-dimethylphenyl)acetamide"
"C172112","procto-glyvenol"
"C172113","allogeneic adipose-derived mesenchymal stem cells"
"C172113","allogeneic adipose-derived mscs"
"C172113","allogeneic adipose-derived stem/stromal cells"
"C172113","allogeneic mesenchymal stem/stromal cells"
"C172121","cytoplasmic immunoglobulin"
"C172121","cyig"
"C172121","cytoplasmic ig"
"C172121","cig"
"C172124","wistar rabies virus strain pm-1503-3m vaccine"
"C172124","imovax rabies"
"C172151","silicone-based film forming topical gel"
"C172151","silicone-based film-forming gel dressing"
"C172151","stratactx"
"C172151","strataxrt"
"C172151","strataxrt gel"
"C172187","inkt cell agonist abx196"
"C172187","abx 196"
"C172187","abx-196"
"C172187","abx196"
"C172187","invariant nkt cell agonist abx196"
"C172188","betaglucin gel"
"C172188","betaglucin soluble gel"
"C172188","epiglucan gel"
"C172189","porcupine inhibitor xnw7201"
"C172189","porcn inhibitor xnw7201"
"C172189","xnw 7201"
"C172189","xnw-7201"
"C172189","xnw7201"
"C172190","hsp90-targeted photosensitizer hs-201"
"C172190","hs 201"
"C172190","hs-201"
"C172190","hs201"
"C172190","hsp90 inhibitor-linked verteporfin"
"C172192","betahistine hydrochloride nasal spray"
"C172192","am 125"
"C172192","am-125"
"C172192","am125"
"C172192","betahistine dihydrochloride nasal spray"
"C172193","fak/alk/ros1 inhibitor apg-2449"
"C172193","apg 2449"
"C172193","apg-2449"
"C172193","apg2449"
"C172194","acasunlimab"
"C172194","anti-pd-l1/anti-4-1bb bispecific monoclonal antibody gen1046"
"C172194","bnt 311"
"C172194","duobody pd-l1 x 4-1bb gen1046"
"C172194","gen 1046"
"C172194","gen-1046"
"C172194","gen1046"
"C172195","flt3/kit/csf1r inhibitor nms-03592088"
"C172195","nms 03592088"
"C172195","nms p088"
"C172195","nms-03592088"
"C172196","anti-ctla-4/anti-pd-1 monoclonal antibody combination bcd-217"
"C172196","anti-ctla-4/pd-1 monoclonal antibody combination bcd-217"
"C172196","anti-ctla4/anti-pd1 monoclonal antibody combination bcd-217"
"C172196","bcd 217"
"C172196","bcd-217"
"C172196","bcd217"
"C172197","autologous anti-flt3 car t cells amg 553"
"C172197","amg 553"
"C172197","amg-553"
"C172197","amg553"
"C172197","autologous anti-flt3 car t-lymphocytes amg 553"
"C172197","autologous flt3 car-t cells amg 553"
"C172198","anti-her2 monoclonal antibody hlx22"
"C172198","hlx 22"
"C172198","hlx-22"
"C172198","hlx22"
"C172199","gbm antigens and alloantigens immunotherapeutic vaccine"
"C172199","v-boost"
"C172199","v-boost immunitor"
"C172200","jak inhibitor"
"C172200","jak inhibitors"
"C172200","janus kinase inhibitor"
"C172202","anti-cd19 antibody-t-cell receptor-expressing t-cells et019003"
"C172202","anti-cd19 abtcr-expressing t-cells et019003"
"C172202","anti-cd19 t-cells et019003"
"C172202","anti-cd19-tcr t-cells et019003"
"C172202","cd19-targeted t-cells et019003"
"C172202","et 019003"
"C172202","et-019003"
"C172202","et019003"
"C172202","et019003-t cells"
"C172205","pngvl4a-sig/e7(detox)/hsp70 dna and hpv16 l2/e6/e7 fusion protein ta-cin vaccine pvx-2"
"C172205","pvx 2"
"C172205","pvx-2"
"C172205","pvx2"
"C172279","her2 tri-specific natural killer cell engager df1001"
"C172279","df 1001"
"C172279","df-1001"
"C172279","df1001"
"C172279","her2 tri-specific nk cell engager df1001"
"C172279","tri-specific nk cell engager df1001"
"C172279","tri-specific natural killer cell engager df1001"
"C172338","rabies antibody"
"C172338","anti-rabies antibody"
"C172338","rabies-specific antibody"
"C172339","rabies-specific igg antibody"
