"source_node","source_node_type","affected_gene","affected_gene_role","pathlength","link_product"
"C124993","treatment","FGFR4","ONCOGENE",3,0
"C124993","treatment","EGFR","ONCOGENE",3,0
"C124993","treatment","FGFR2","ONCOGENE",3,0
"C124993","treatment","FGFR3","ONCOGENE",3,0
"C124993","treatment","FLT3","ONCOGENE",3,0
"C124993","treatment","KDR","ONCOGENE",3,0
"C124993","treatment","ERBB3","ONCOGENE",3,0
"C124993","treatment","PIK3CA","ONCOGENE",2,0
"C124993","treatment","RHOA","ONCOGENE",3,1
"C124993","treatment","CTNNB1","ONCOGENE",2,1
"C124993","treatment","CTNNB1","ONCOGENE",3,0
"C124993","treatment","TCF7L2","ONCOGENE",3,1
"C124993","treatment","CREBBP","TUMOUR SUPPRESSOR",3,1
"C124993","treatment","EP300","TUMOUR SUPPRESSOR",3,1
"C124993","treatment","CDH1","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","RPS6KA3","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","CDK4","ONCOGENE",3,0
"C124993","treatment","ESR1","ONCOGENE",3,0
"C124993","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","SMAD3","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","SMAD2","TUMOUR SUPPRESSOR",3,0
"C124993","treatment","AR","ONCOGENE",3,0
"C124993","treatment","MAPK1","ONCOGENE",2,0
"C124993","treatment","ERBB2","ONCOGENE",2,0
"C124993","treatment","PLCG1","ONCOGENE",3,0
"C124993","treatment","MAP2K1","ONCOGENE",3,0
"C124993","treatment","JAK3","ONCOGENE",3,0
"C124993","treatment","MET","ONCOGENE",1,-1
"C124995","treatment","BRAF","ONCOGENE",1,-1
"C124995","treatment","MAP2K1","ONCOGENE",2,0
"C124995","treatment","MAPK1","ONCOGENE",3,0
"C125003","treatment","RAF1","ONCOGENE",1,-1
"C125003","treatment","BCL2","ONCOGENE",3,-1
"C125003","treatment","MAP2K1","ONCOGENE",2,0
"C125003","treatment","MAPK1","ONCOGENE",3,0
"C125003","treatment","BRAF","ONCOGENE",1,-1
"C125062","treatment","BCL2","ONCOGENE",3,0
"C125062","treatment","EP300","TUMOUR SUPPRESSOR",3,0
"C125062","treatment","CREBBP","TUMOUR SUPPRESSOR",3,0
"C125081","treatment","JAK3","ONCOGENE",3,-1
"C125081","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C125081","treatment","STAT6","ONCOGENE",3,-1
"C125081","treatment","PIK3CA","ONCOGENE",3,-1
"C125081","treatment","PIK3CB","ONCOGENE",3,-1
"C125081","treatment","PTPN11","ONCOGENE",3,-1
"C125081","treatment","NRAS","ONCOGENE",3,1
"C125081","treatment","KRAS","ONCOGENE",3,1
"C125081","treatment","HRAS","ONCOGENE",3,1
"C125192","treatment","AKT1","ONCOGENE",3,0
"C125192","treatment","MTOR","ONCOGENE",3,0
"C125192","treatment","RAC1","ONCOGENE",3,0
"C125192","treatment","VAV1","ONCOGENE",3,0
"C125192","treatment","PIK3CA","ONCOGENE",2,0
"C125192","treatment","PIK3CB","ONCOGENE",2,0
"C125192","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C125471","treatment","AKT1","ONCOGENE",3,-1
"C125471","treatment","PIK3CA","ONCOGENE",3,-1
"C125471","treatment","PIK3CB","ONCOGENE",3,-1
"C125471","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C125548","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C125548","treatment","PIK3CB","ONCOGENE",3,-1
"C125548","treatment","PIK3CA","ONCOGENE",3,-1
"C125548","treatment","SOS1","ONCOGENE",3,-1
"C125548","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C125548","treatment","PDGFRA","ONCOGENE",3,0
"C125548","treatment","PDGFRB","ONCOGENE",3,0
"C125548","treatment","FGFR1","ONCOGENE",3,0
"C125548","treatment","KIT","ONCOGENE",3,0
"C125548","treatment","NTRK1","ONCOGENE",3,0
"C125548","treatment","ERBB2","ONCOGENE",3,0
"C125548","treatment","MET","ONCOGENE",3,0
"C125548","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C125548","treatment","FGFR4","ONCOGENE",3,0
"C125548","treatment","EGFR","ONCOGENE",3,0
"C125548","treatment","FGFR2","ONCOGENE",3,0
"C125548","treatment","FGFR3","ONCOGENE",3,0
"C125548","treatment","FLT3","ONCOGENE",3,0
"C125548","treatment","KDR","ONCOGENE",3,0
"C125548","treatment","ERBB3","ONCOGENE",3,0
"C125549","treatment","AKT1","ONCOGENE",3,0
"C125549","treatment","MTOR","ONCOGENE",3,0
"C125549","treatment","RAC1","ONCOGENE",3,0
"C125549","treatment","VAV1","ONCOGENE",3,0
"C125549","treatment","PIK3CA","ONCOGENE",2,0
"C125549","treatment","PIK3CB","ONCOGENE",2,0
"C125549","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C125659","treatment","GNAS","ONCOGENE",2,-1
"C125903","treatment","BCL2","ONCOGENE",3,1
"C125903","treatment","TP53","TUMOUR SUPPRESSOR",3,0
"C125903","treatment","HSP90AB1","ONCOGENE",1,-1
"C125903","treatment","MTOR","ONCOGENE",3,1
"C125903","treatment","MDM2","ONCOGENE",3,1
"C125903","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C125903","treatment","CDKN1B","TUMOUR SUPPRESSOR",3,1
"C125903","treatment","TSC2","TUMOUR SUPPRESSOR",3,1
"C125903","treatment","RAF1","ONCOGENE",3,1
"C125903","treatment","FOXO1","ONCOGENE",3,1
"C125903","treatment","TSC1","TUMOUR SUPPRESSOR",3,1
"C125903","treatment","MAP2K4","TUMOUR SUPPRESSOR",3,1
"C125903","treatment","RELA","ONCOGENE",3,0
"C125903","treatment","AR","ONCOGENE",2,1
"C125903","treatment","AR","ONCOGENE",3,1
"C125903","treatment","AKT1","ONCOGENE",2,1
"C125903","treatment","HSP90AA1","ONCOGENE",1,-1
"C1262","treatment","MDM2","ONCOGENE",2,-1
"C1262","treatment","RB1","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","TP53","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","BCL2","ONCOGENE",3,0
"C1262","treatment","EP300","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","CREBBP","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","MTOR","ONCOGENE",3,1
"C1262","treatment","NFKBIA","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","RELA","ONCOGENE",3,0
"C1262","treatment","MTOR","ONCOGENE",2,-1
"C1262","treatment","RHOA","ONCOGENE",3,-1
"C1262","treatment","PRKCB","ONCOGENE",3,-1
"C1262","treatment","CLIP1","TUMOUR SUPPRESSOR",3,-1
"C1262","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","CDKN1A","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","CCND3","ONCOGENE",3,0
"C1262","treatment","CDK4","ONCOGENE",3,0
"C1262","treatment","CCND1","ONCOGENE",3,0
"C1262","treatment","CCND2","ONCOGENE",3,0
"C1262","treatment","RXRA","TUMOUR SUPPRESSOR",3,-1
"C1262","treatment","FOXO1","ONCOGENE",2,1
"C1262","treatment","RAF1","ONCOGENE",2,1
"C1262","treatment","MAP2K1","ONCOGENE",3,0
"C1262","treatment","TSC1","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","CDKN1B","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","CTNNB1","ONCOGENE",3,0
"C1262","treatment","MYC","ONCOGENE",3,0
"C1262","treatment","AXIN2","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","AXIN1","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","TSC2","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","TP53","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","MDM2","ONCOGENE",3,1
"C1262","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","PTEN","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","PPM1D","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","FAS","TUMOUR SUPPRESSOR",3,1
"C1262","treatment","DDB2","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","CDKN1B","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","MAP2K4","TUMOUR SUPPRESSOR",2,1
"C1262","treatment","RELA","ONCOGENE",2,0
"C1262","treatment","TRAF3","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","PTPN13","TUMOUR SUPPRESSOR",3,0
"C1262","treatment","BIRC3","ONCOGENE",3,0
"C1262","treatment","AKT1","ONCOGENE",1,-1
"C126660","treatment","CXCR4","ONCOGENE",1,-1
"C126660","treatment","GNAQ","ONCOGENE",2,-1
"C126660","treatment","PLCB4","ONCOGENE",3,1
"C126660","treatment","GNA11","ONCOGENE",2,-1
"C126752","treatment","EGFR","ONCOGENE",1,-1
"C126752","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C126752","treatment","RAC1","ONCOGENE",3,0
"C126752","treatment","MTOR","ONCOGENE",3,0
"C126752","treatment","AKT1","ONCOGENE",3,0
"C126752","treatment","VAV1","ONCOGENE",3,0
"C126752","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","STAT6","ONCOGENE",3,0
"C126752","treatment","PTPN11","ONCOGENE",3,-1
"C126752","treatment","PIK3CA","ONCOGENE",3,0
"C126752","treatment","PIK3CB","ONCOGENE",3,0
"C126752","treatment","BCL2","ONCOGENE",3,0
"C126752","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C126752","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C126752","treatment","CCND1","ONCOGENE",3,0
"C126752","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C126752","treatment","CCND2","ONCOGENE",3,1
"C126752","treatment","CCND3","ONCOGENE",3,1
"C126752","treatment","MYC","ONCOGENE",3,0
"C126752","treatment","JAK3","ONCOGENE",2,-1
"C126752","treatment","MAP2K1","ONCOGENE",2,-1
"C126752","treatment","MAPK1","ONCOGENE",3,0
"C126752","treatment","HRAS","ONCOGENE",2,-1
"C126752","treatment","ARAF","ONCOGENE",3,-1
"C126752","treatment","RAF1","ONCOGENE",3,-1
"C126752","treatment","BRAF","ONCOGENE",3,-1
"C126752","treatment","RALGDS","ONCOGENE",3,-1
"C126752","treatment","PIK3CB","ONCOGENE",2,0
"C126752","treatment","PLCG1","ONCOGENE",2,-1
"C126752","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,1
"C126752","treatment","PRKCB","ONCOGENE",3,0
"C126752","treatment","NRAS","ONCOGENE",2,-1
"C126752","treatment","KRAS","ONCOGENE",2,-1
"C126752","treatment","SOS1","ONCOGENE",3,-1
"C126752","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","PDGFRA","ONCOGENE",3,0
"C126752","treatment","PDGFRB","ONCOGENE",3,0
"C126752","treatment","FGFR1","ONCOGENE",3,0
"C126752","treatment","KIT","ONCOGENE",3,0
"C126752","treatment","NTRK1","ONCOGENE",3,0
"C126752","treatment","ERBB2","ONCOGENE",3,0
"C126752","treatment","MET","ONCOGENE",3,0
"C126752","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","FGFR4","ONCOGENE",3,0
"C126752","treatment","EGFR","ONCOGENE",3,0
"C126752","treatment","FGFR2","ONCOGENE",3,0
"C126752","treatment","FGFR3","ONCOGENE",3,0
"C126752","treatment","FLT3","ONCOGENE",3,0
"C126752","treatment","KDR","ONCOGENE",3,0
"C126752","treatment","ERBB3","ONCOGENE",3,0
"C126752","treatment","PIK3CA","ONCOGENE",2,0
"C126752","treatment","RHOA","ONCOGENE",3,-1
"C126752","treatment","CTNNB1","ONCOGENE",2,1
"C126752","treatment","CTNNB1","ONCOGENE",3,0
"C126752","treatment","TCF7L2","ONCOGENE",3,1
"C126752","treatment","CREBBP","TUMOUR SUPPRESSOR",3,-1
"C126752","treatment","EP300","TUMOUR SUPPRESSOR",3,-1
"C126752","treatment","CDH1","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","RPS6KA3","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","CDK4","ONCOGENE",3,0
"C126752","treatment","ESR1","ONCOGENE",3,0
"C126752","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","SMAD3","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","SMAD2","TUMOUR SUPPRESSOR",3,0
"C126752","treatment","AR","ONCOGENE",3,0
"C126752","treatment","MAPK1","ONCOGENE",2,0
"C126752","treatment","ERBB2","ONCOGENE",2,0
"C126752","treatment","PLCG1","ONCOGENE",3,0
"C126752","treatment","MAP2K1","ONCOGENE",3,0
"C126752","treatment","JAK3","ONCOGENE",3,0
"C126841","treatment","JAK3","ONCOGENE",3,1
"C126841","treatment","STAT6","ONCOGENE",3,1
"C126841","treatment","IL6ST","ONCOGENE",2,-1
"C126841","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,1
"C126841","treatment","PTPN11","ONCOGENE",3,1
"C126841","treatment","PIK3CA","ONCOGENE",3,1
"C126841","treatment","PIK3CB","ONCOGENE",3,1
"C126841","treatment","NRAS","ONCOGENE",3,1
"C126841","treatment","KRAS","ONCOGENE",3,1
"C126841","treatment","HRAS","ONCOGENE",3,1
"C126841","treatment","IFNGR1","TUMOUR SUPPRESSOR",2,-1
"C126841","treatment","RELA","ONCOGENE",3,1
"C126841","treatment","JAK3","ONCOGENE",2,-1
"C126841","treatment","IL7R","ONCOGENE",2,-1
"C126841","treatment","IFNAR1","TUMOUR SUPPRESSOR",2,-1
"C127012","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,1
"C127012","treatment","RAC1","ONCOGENE",3,1
"C127012","treatment","MTOR","ONCOGENE",3,1
"C127012","treatment","AKT1","ONCOGENE",3,0
"C127012","treatment","VAV1","ONCOGENE",3,0
"C127012","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C127012","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C127012","treatment","BCL2","ONCOGENE",3,1
"C127012","treatment","CCND3","ONCOGENE",3,1
"C127012","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C127012","treatment","MYC","ONCOGENE",3,1
"C127012","treatment","CCND2","ONCOGENE",3,1
"C127012","treatment","CCND1","ONCOGENE",3,1
"C127012","treatment","STAT6","ONCOGENE",3,0
"C127012","treatment","STAT6","ONCOGENE",2,1
"C127012","treatment","PIK3CA","ONCOGENE",2,1
"C127012","treatment","PIK3CB","ONCOGENE",2,1
"C127012","treatment","PTPN11","ONCOGENE",2,1
"C127012","treatment","SOS1","ONCOGENE",3,1
"C127012","treatment","MAPK1","ONCOGENE",3,0
"C127012","treatment","JAK3","ONCOGENE",1,-1
"C1271","treatment","CDK4","ONCOGENE",3,0
"C1271","treatment","TP53","TUMOUR SUPPRESSOR",2,-1
"C1271","treatment","MDM2","ONCOGENE",3,0
"C1271","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","PTEN","TUMOUR SUPPRESSOR",3,-1
"C1271","treatment","PPM1D","TUMOUR SUPPRESSOR",3,-1
"C1271","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","FAS","TUMOUR SUPPRESSOR",3,-1
"C1271","treatment","DDB2","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","BCL2","ONCOGENE",3,1
"C1271","treatment","NRAS","ONCOGENE",2,0
"C1271","treatment","PIK3CB","ONCOGENE",3,0
"C1271","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","RALGDS","ONCOGENE",3,0
"C1271","treatment","BRAF","ONCOGENE",3,0
"C1271","treatment","RAF1","ONCOGENE",3,0
"C1271","treatment","PIK3CA","ONCOGENE",3,0
"C1271","treatment","ARAF","ONCOGENE",3,0
"C1271","treatment","KRAS","ONCOGENE",2,0
"C1271","treatment","HRAS","ONCOGENE",2,0
"C1271","treatment","MTOR","ONCOGENE",2,-1
"C1271","treatment","RHOA","ONCOGENE",3,-1
"C1271","treatment","PRKCB","ONCOGENE",3,-1
"C1271","treatment","CLIP1","TUMOUR SUPPRESSOR",3,-1
"C1271","treatment","BIRC3","ONCOGENE",3,-1
"C1271","treatment","CCND3","ONCOGENE",3,0
"C1271","treatment","CCND1","ONCOGENE",3,0
"C1271","treatment","CCND2","ONCOGENE",3,0
"C1271","treatment","NRAS","ONCOGENE",3,0
"C1271","treatment","KRAS","ONCOGENE",3,0
"C1271","treatment","HRAS","ONCOGENE",3,0
"C1271","treatment","RAF1","ONCOGENE",2,0
"C1271","treatment","MAP2K1","ONCOGENE",3,0
"C1271","treatment","BRAF","ONCOGENE",2,-1
"C1271","treatment","ARAF","ONCOGENE",2,-1
"C1271","treatment","EPAS1","ONCOGENE",3,0
"C1271","treatment","RRAS2","ONCOGENE",2,0
"C1271","treatment","CDK4","ONCOGENE",1,-1
"C1271","treatment","RB1","TUMOUR SUPPRESSOR",2,-1
"C1271","treatment","MYC","ONCOGENE",3,1
"C1271","treatment","CCND1","ONCOGENE",2,0
"C1271","treatment","RB1","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","PRKCB","ONCOGENE",1,-1
"C1271","treatment","PRKCD","TUMOUR SUPPRESSOR",1,-1
"C1271","treatment","MTOR","ONCOGENE",3,0
"C1271","treatment","RRAS2","ONCOGENE",3,0
"C1271","treatment","FOXO1","ONCOGENE",3,0
"C1271","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","TP53","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","CDKN1B","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","MAP2K4","TUMOUR SUPPRESSOR",3,0
"C1271","treatment","RELA","ONCOGENE",3,0
"C1271","treatment","AKT1","ONCOGENE",2,0
"C1271","treatment","CDKN1B","TUMOUR SUPPRESSOR",2,1
"C127123","treatment","IFNGR1","TUMOUR SUPPRESSOR",2,-1
"C127123","treatment","JAK3","ONCOGENE",3,1
"C127123","treatment","RELA","ONCOGENE",3,1
"C127123","treatment","IL6ST","ONCOGENE",2,-1
"C127123","treatment","STAT6","ONCOGENE",3,-1
"C127123","treatment","IL7R","ONCOGENE",2,-1
"C127123","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,1
"C127123","treatment","NRAS","ONCOGENE",3,1
"C127123","treatment","PIK3CA","ONCOGENE",3,1
"C127123","treatment","PIK3CB","ONCOGENE",3,1
"C127123","treatment","HRAS","ONCOGENE",3,1
"C127123","treatment","KRAS","ONCOGENE",3,1
"C127123","treatment","PTPN11","ONCOGENE",3,1
"C127123","treatment","SMAD2","TUMOUR SUPPRESSOR",3,1
"C127123","treatment","SMAD3","TUMOUR SUPPRESSOR",3,1
"C127123","treatment","IFNAR1","TUMOUR SUPPRESSOR",2,-1
"C128039","treatment","PIK3CB","ONCOGENE",2,-1
"C128039","treatment","AKT1","ONCOGENE",3,0
"C128039","treatment","RAC1","ONCOGENE",3,0
"C128039","treatment","MTOR","ONCOGENE",3,1
"C128039","treatment","VAV1","ONCOGENE",3,0
"C128039","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,-1
"C128039","treatment","SOS1","ONCOGENE",3,-1
"C128039","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C128039","treatment","PDGFRA","ONCOGENE",3,0
"C128039","treatment","PDGFRB","ONCOGENE",3,0
"C128039","treatment","FGFR1","ONCOGENE",3,0
"C128039","treatment","KIT","ONCOGENE",3,0
"C128039","treatment","NTRK1","ONCOGENE",3,0
"C128039","treatment","ERBB2","ONCOGENE",3,0
"C128039","treatment","MET","ONCOGENE",3,0
"C128039","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C128039","treatment","FGFR4","ONCOGENE",3,0
"C128039","treatment","EGFR","ONCOGENE",3,0
"C128039","treatment","FGFR2","ONCOGENE",3,0
"C128039","treatment","FGFR3","ONCOGENE",3,0
"C128039","treatment","FLT3","ONCOGENE",3,0
"C128039","treatment","KDR","ONCOGENE",3,0
"C128039","treatment","ERBB3","ONCOGENE",3,0
"C128039","treatment","PIK3CA","ONCOGENE",2,-1
"C128039","treatment","KRAS","ONCOGENE",3,0
"C128039","treatment","NRAS","ONCOGENE",3,0
"C128039","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C128039","treatment","PIK3CB","ONCOGENE",3,0
"C128039","treatment","HRAS","ONCOGENE",3,0
"C128039","treatment","CTNNB1","ONCOGENE",3,0
"C128039","treatment","PIK3CA","ONCOGENE",3,0
"C128039","treatment","ARHGAP35","TUMOUR SUPPRESSOR",3,0
"C128039","treatment","ARHGAP5","TUMOUR SUPPRESSOR",3,0
"C128039","treatment","RHOA","ONCOGENE",3,0
"C128039","treatment","RRAS2","ONCOGENE",3,0
"C128059","treatment","BRAF","ONCOGENE",1,-1
"C128059","treatment","MAP2K1","ONCOGENE",2,0
"C128059","treatment","MAPK1","ONCOGENE",3,0
"C128625","treatment","PRKCB","ONCOGENE",3,0
"C128625","treatment","PIK3CB","ONCOGENE",3,-1
"C128625","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,-1
"C128625","treatment","PIK3CA","ONCOGENE",3,-1
"C128799","treatment","ERBB2","ONCOGENE",1,0
"C128799","treatment","PIK3CA","ONCOGENE",2,0
"C128799","treatment","MTOR","ONCOGENE",3,0
"C128799","treatment","RAC1","ONCOGENE",3,0
"C128799","treatment","AKT1","ONCOGENE",3,0
"C128799","treatment","VAV1","ONCOGENE",3,0
"C128799","treatment","PIK3CB","ONCOGENE",2,0
"C128799","treatment","PLCG1","ONCOGENE",2,0
"C128799","treatment","PPP3CA","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","PRKCB","ONCOGENE",3,0
"C128799","treatment","SOS1","ONCOGENE",3,0
"C128799","treatment","EPHA2","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","PDGFRA","ONCOGENE",3,0
"C128799","treatment","PDGFRB","ONCOGENE",3,0
"C128799","treatment","FGFR1","ONCOGENE",3,0
"C128799","treatment","KIT","ONCOGENE",3,0
"C128799","treatment","NTRK1","ONCOGENE",3,0
"C128799","treatment","ERBB2","ONCOGENE",3,0
"C128799","treatment","MET","ONCOGENE",3,0
"C128799","treatment","ERBB4","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","FGFR4","ONCOGENE",3,0
"C128799","treatment","EGFR","ONCOGENE",3,0
"C128799","treatment","FGFR2","ONCOGENE",3,0
"C128799","treatment","FGFR3","ONCOGENE",3,0
"C128799","treatment","FLT3","ONCOGENE",3,0
"C128799","treatment","KDR","ONCOGENE",3,0
"C128799","treatment","ERBB3","ONCOGENE",3,0
"C128799","treatment","PIK3R1","TUMOUR SUPPRESSOR",2,0
"C128799","treatment","MAPK1","ONCOGENE",3,0
"C128799","treatment","PIK3R1","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","PIK3CB","ONCOGENE",3,0
"C128799","treatment","PIK3CA","ONCOGENE",3,0
"C128799","treatment","STAT6","ONCOGENE",3,0
"C128799","treatment","PTPN11","ONCOGENE",3,0
"C128799","treatment","MAP2K1","ONCOGENE",2,0
"C128799","treatment","JAK3","ONCOGENE",2,0
"C128799","treatment","RHOA","ONCOGENE",3,0
"C128799","treatment","CTNNB1","ONCOGENE",2,0
"C128799","treatment","CTNNB1","ONCOGENE",3,0
"C128799","treatment","CCND2","ONCOGENE",3,0
"C128799","treatment","CCND3","ONCOGENE",3,0
"C128799","treatment","TCF7L2","ONCOGENE",3,0
"C128799","treatment","CCND1","ONCOGENE",3,0
"C128799","treatment","CREBBP","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","EP300","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","CDH1","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","MAPK1","ONCOGENE",2,0
"C128799","treatment","CDK4","ONCOGENE",3,0
"C128799","treatment","ESR1","ONCOGENE",3,0
"C128799","treatment","MYC","ONCOGENE",3,0
"C128799","treatment","RPS6KA3","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","BCL2","ONCOGENE",3,0
"C128799","treatment","TSC2","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","SMAD3","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","SMAD2","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","TSC1","TUMOUR SUPPRESSOR",3,0
"C128799","treatment","AR","ONCOGENE",3,0
"C1288","treatment","CSF3R","ONCOGENE",1,1
"C1288","treatment","CCND2","ONCOGENE",3,1
"C1288","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C1288","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C1288","treatment","MYC","ONCOGENE",3,1
"C1288","treatment","CCND3","ONCOGENE",3,1
"C1288","treatment","CCND1","ONCOGENE",3,1
"C1288","treatment","BCL2","ONCOGENE",3,1
"C1288","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C1288","treatment","STAT6","ONCOGENE",3,0
"C128853","treatment","GNAQ","ONCOGENE",2,1
"C128853","treatment","PLCB4","ONCOGENE",3,1
"C128853","treatment","GNA11","ONCOGENE",2,1
"C128891","treatment","CSF3R","ONCOGENE",1,1
"C128891","treatment","CCND2","ONCOGENE",3,1
"C128891","treatment","PIM1","TUMOUR SUPPRESSOR",3,1
"C128891","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,1
"C128891","treatment","MYC","ONCOGENE",3,1
"C128891","treatment","CCND3","ONCOGENE",3,1
"C128891","treatment","CCND1","ONCOGENE",3,1
"C128891","treatment","BCL2","ONCOGENE",3,1
"C128891","treatment","SOCS1","TUMOUR SUPPRESSOR",3,1
"C128891","treatment","STAT6","ONCOGENE",3,0
"C129048","treatment","SMAD3","TUMOUR SUPPRESSOR",2,0
"C129048","treatment","MYC","ONCOGENE",3,0
"C129048","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","SMAD4","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","CDKN1B","TUMOUR SUPPRESSOR",2,0
"C129048","treatment","CDK4","ONCOGENE",3,0
"C129048","treatment","CCND3","ONCOGENE",3,0
"C129048","treatment","CCND2","ONCOGENE",3,0
"C129048","treatment","CCND1","ONCOGENE",3,0
"C129048","treatment","CDKN1A","TUMOUR SUPPRESSOR",2,0
"C129048","treatment","CDKN1B","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","BCL2","ONCOGENE",3,0
"C129048","treatment","CREBBP","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","EP300","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","RB1","TUMOUR SUPPRESSOR",3,0
"C129048","treatment","SMAD2","TUMOUR SUPPRESSOR",2,0
"C129048","treatment","EPAS1","ONCOGENE",2,0
"C129376","treatment","FLT3","ONCOGENE",1,-1
"C129376","treatment","PIK3CA","ONCOGENE",2,-1
"C129376","treatment","MTOR","ONCOGENE",3,1
"C129376","treatment","RAC1","ONCOGENE",3,1
"C129376","treatment","AKT1","ONCOGENE",3,0
"C129376","treatment","VAV1","ONCOGENE",3,0
"C129376","treatment","CCND2","ONCOGENE",3,-1
"C129376","treatment","PIM1","TUMOUR SUPPRESSOR",3,-1
"C129376","treatment","CDKN1A","TUMOUR SUPPRESSOR",3,-1
"C129376","treatment","MYC","ONCOGENE",3,0
"C129376","treatment","CCND3","ONCOGENE",3,-1
"C129376","treatment","CCND1","ONCOGENE",3,-1
